                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,                0.78358,                0.39109,                0.60446,                  1.075,                 0.9757,                0.46216,                0.49272,                0.41764,                0.97672,                0.46568,                0.49442,                0.40635,                0.66455,                0.38766,                0.41786,                 1.0775,               0.006733,               0.006733,               0.006733
                     35,                0.78861,                0.38844,                0.59905,                 1.0782,                0.98017,                0.46547,                0.49383,                0.41772,                0.97912,                0.46863,                0.49563,                0.40418,                0.67006,                0.39113,                0.40184,                  1.087,               0.006634,               0.006634,               0.006634
                     36,                0.77793,                0.39239,                0.59035,                 1.0797,                0.97747,                0.45548,                0.49209,                0.41256,                0.97962,                0.45724,                0.49342,                0.39984,                 0.6697,                0.39747,                0.43078,                 1.0836,               0.006535,               0.006535,               0.006535
                     37,                 0.7762,                0.39036,                 0.5865,                 1.0696,                0.97671,                0.46517,                0.49392,                0.41738,                0.97845,                0.46678,                0.49602,                0.40431,                0.66224,                0.38897,                 0.4155,                 1.0737,               0.006436,               0.006436,               0.006436
                     38,                0.76706,                0.38186,                 0.5701,                 1.0606,                0.98494,                0.45744,                0.49502,                0.41896,                0.98538,                0.45789,                0.49584,                0.40532,                0.66748,                0.38728,                0.40689,                  1.081,               0.006337,               0.006337,               0.006337
                     39,                0.76053,                 0.3776,                0.57041,                  1.063,                0.98004,                0.46916,                0.49685,                 0.4212,                0.98154,                 0.4693,                0.49738,                0.40642,                0.64919,                0.38995,                0.39295,                 1.0682,               0.006238,               0.006238,               0.006238
                     40,                0.76389,                0.37386,                 0.5609,                  1.063,                 0.9739,                0.46952,                0.49461,                0.41735,                0.97596,                 0.4709,                0.49496,                 0.4062,                0.65973,                0.38175,                0.39842,                 1.0707,               0.006139,               0.006139,               0.006139
                     41,                0.76137,                0.37883,                0.57451,                   1.06,                0.97692,                0.45918,                0.49472,                0.41563,                0.97093,                0.46881,                0.49706,                 0.4052,                0.65905,                0.38878,                0.40775,                 1.0779,                0.00604,                0.00604,                0.00604
                     42,                0.75748,                0.37861,                0.55975,                 1.0562,                0.97689,                0.45638,                0.49267,                0.41788,                0.97798,                0.45773,                0.49406,                0.40616,                0.65271,                 0.3812,                0.41446,                 1.0717,               0.005941,               0.005941,               0.005941
                     43,                0.76182,                0.37704,                0.56014,                 1.0668,                0.97984,                0.46665,                0.49585,                0.42063,                0.98075,                0.46752,                0.49718,                0.40817,                0.65322,                 0.3798,                0.39118,                 1.0685,               0.005842,               0.005842,               0.005842
